district_number,mean_LOCGVT,mean_STGVT,mean_TOTINCM,mean_TOTEXPCO,mean_TOTOPEXP,mean_BKVOL,mean_EBOOK,mean_AUDIO_PH,mean_VIDEO_PH,mean_VISITS,mean_ELMATCIR,mean_TOTCIR,mean_TOTPRO,mean_KIDPRO,mean_YAPRO,mean_TOTATTEN,mean_KIDATTEN,mean_YAATTEN,mean_MASTER,mean_LIBRARIA,mean_TOTSTAFF,mean_HRS_OPEN,total_below_pov,under18_below_pov,ACT_Score_15,RLA_Score_15
273,33.565038087087835,21.025236971767917,59.10585272220007,10.571340313128204,53.53826155825856,20.603222505405487,527.2964653453705,0.22790844817399555,1.4449547655829784,6.823194555829901,0.1307565074123464,8.247021444335832,0.1061754893293501,0.07830295048452154,0.01724912053714419,0.5627025106280756,0.3239773321134085,0.08489973321044318,0.14285714285714285,0.83,0.8842857142857143,1015.7142857142857,10.9,16,21,45
357,35.506277139976056,2.97137004136408,40.33227516305679,5.474677082067068,35.87929936344398,4.733507953964688,39.07250224618852,0.06861845015030034,0.2491394013414864,5.160486540507847,0.49034710585703845,3.737577322921734,0.017553725614273586,0.012851098268084948,0.002186793685182078,0.39053835683395677,0.3561853394195359,0.01631081562348049,0.8333333333333334,0.95,3.1333333333333333,2224,13,14.5,22.7,36
240,39.43219318272713,3.9662582619016034,46.54252830073433,6.480531436961166,43.70698167325324,9.20473123445216,63.31912866311135,0.139156587597125,0.47914990818999015,6.847740604625491,0.35790585392992147,7.661381231936069,0.0272227331020829,0.016843836636972292,2.0194845439794988e-4,0.8633366807816173,0.6975531042027668,0.01400480928604005,2,2.77,13.173333333333334,2496,7,11.3,21.3,36
204,72.8540977095194,0.42777704223487356,80.75638819012313,9.36303455580564,80.88269561763538,6.4269826558983185,17.252350059578976,0.3233152389778896,0.6185621607308355,18.228783264927845,0.507480471335893,19.18919634582285,0.04528002118363564,0.03918972593671389,0.0025155567324242024,1.6304779557791607,1.5784456507348075,0.022375215146299483,2,3,8.53,3328,9.9,15.6,20.4,37
313,31.264921221638172,5.344918832372953,41.749645033401265,5.955392112792648,35.38389999504288,9.650924388987557,83.47935262135766,0.1770546652959886,1.022517947813252,8.533887538516288,0.4001170361827149,18.05108218899267,0.04238756817161738,0.03094604668369387,0.007555909137111874,0.9323709159582628,0.7494259912423582,0.13639483824518508,1.15,1.838,8.24,2126.8,10.1,13.4,22.3,43
244,91.35696634363411,0.41079591804736787,99.14004315828139,8.760913746305356,88.35208409349723,7.699730428186717,91.36337242269238,0.37763123263991166,1.387748738185017,14.98819548241542,0.4156019805437621,15.754106102820284,0.2736934809105435,0.1907511705572597,0.027379219756360908,2.5233102974179773,1.9782528050523442,0.21118757275310773,1,10.239999999999998,11.354999999999999,8203,9.4,9.8,21.4,44
436,35.07736421447894,2.3325174878488135,40.6976315033016,4.413870758316744,36.13740931311011,4.978443445343188,28.153610480281408,0.1010233592061783,0.43527990059064087,8.181985657366443,0.072722120075328,8.790922347469259,0.05411206507815902,0.01958881381961062,0.012509978908609925,0.7895632814687313,0.4332950000135108,0.25139133753822784,1,2.1466666666666665,6.2299999999999995,2356,17.2,19.7,20.9,35
380,43.56245897066278,16.10419615544786,62.61741737370339,8.656881136621575,51.83199501745603,23.670233977128696,419.54431675639296,0.38972809391366087,1.8415582654789018,11.000911357923355,0.22368635585161925,11.69039287158184,0.15883108938268053,0.09235087655369774,0.006001147509094304,2.4718497673567232,1.8491960857921956,0.0351442162032621,0,0.93875,1.2075,1367.75,12.3,18,21.1,62
413,48.09573840775701,2.7047061340953724,55.14656528928373,5.636665290927981,55.96401489050173,9.692549610279324,66.90545556327217,0.29481364575963903,0.5515029548030426,7.610007768591398,0.5816760528496812,11.636798540274627,0.019524603534745055,0.01410411640264135,0.0012525881275371447,0.2746559201275886,0.23240603772357793,0.005660918737026087,0.3333333333333333,1.2933333333333332,3.37,2530.6666666666665,20.1,30.3,21.5,39
473,33.03144802057116,5.174965079771929,40.24452685417271,4.414460733928575,34.35526867246467,10.453636173878222,154.71080600895132,0.07261174905046823,0.3968192553506189,4.727578438980014,0.2287943337388139,5.851879289933953,0.08652522152507765,0.07775594257703684,0.002356557287434948,1.2560670367430649,1.1311480365823985,0.02800200952774743,0.42874999999999996,1.92,3.705,1660,10.9,16.8,22.1,46
