LIBID,ZIP,POPU_LSA,MASTER,LIBRARIA,TOTSTAFF,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,TOTEXPCO,TOTOPEXP,BKVOL,EBOOK,AUDIO_PH,VIDEO_PH,HRS_OPEN,VISITS,ELMATCIR,TOTPRO,KIDPRO,YAPRO,TOTATTEN,KIDATTEN,YAATTEN,YEAR
KS0005,66835,1481,0,1.43,1.56,68088,647,0,1347,70082,22448,66670,20459,130307,44,415,1716,6085,73,65,45,10,260,165,60,2015
KS0251,66866,1346,0,0.7,0.73,61936,8134,0,4500,74570,3875,42144,7786,130307,70,246,1040,4375,96,13,3,0,245,130,40,2015
KS0202,66861,1861,0,1.93,1.93,76366,8153,0,2101,86620,12858,94189,29681,130360,563,1856,2340,41606,1083,100,57,8,4707,2023,145,2015
KS0063,66846,2105,0,1.75,3.05,110279,8825,162,13387,132653,12003,115969,19208,130307,1028,1205,2432,11371,383,77,57,8,1575,1396,43,2015
KS0138,67063,2893,0,1.79,1.79,73020,9855,536,8573,91984,20446,93266,34592,130307,900,3001,2028,25000,1182,46,39,6,1313,1255,40,2015
KS0135,67449,2413,0,0.89,2.23,80075,8900,873,4506,94354,10658,105340,12056,130307,179,1145,2080,16952,327,212,68,19,3016,2021,165,2015
KS0308,66547,4578,0,3.63,4.53,237991,2414,468,11650,252523,34561,249721,21747,130356,940,2047,2444,44168,1565,251,153,24,5265,3913,129,2015
KS0207,66508,3295,0,3.98,3.98,214184,10500,0,9036,233720,27666,217127,21285,130307,1135,1623,2366,27924,1346,262,211,6,4113,3536,24,2015
KS0049,67432,4177,0.8,3.1,3.71,185950,11033,0,11300,208283,17081,157567,32661,130307,348,905,2702,27020,906,69,44,18,1231,940,101,2015
KS0001,67410,6590,1.43,7.66,8.33,365467,11722,309,23575,401073,28867,391752,49573,130307,1435,2234,2704,52250,3762,204,135,18,5930,4922,351,2015
KS0258,66536,25184,3,11.4,11.55,525893,8326,0,4562,538781,55173,564731,102308,130307,4448,2695,9230,46987,1559,380,272,43,6563,5066,876,2015
KS0071,66441,36713,2,4,17.25,834486,12461,190,156928,1004065,120403,979489,66580,130718,1821,3644,3588,134083,8716,334,254,18,10102,8907,182,2015
KS0083,66801,30142,3,3,18,908230,10658,194,80646,999728,106715,935941,102838,130307,11582,6162,3146,182476,2873,523,439,42,15008,13543,830,2015
KS0200,66502,56078,5.7,13.3,42.46,2751933,23713,25329,242573,3043548,383040,2996848,135584,130762,6226,12098,3796,362607,44825,684,549,75,30944,26520,2475,2015
KS0062,66417,156,0,0.35,0.35,7300,7587,0,275,15162,857,9126,4390,130307,24,266,780,1507,178,74,61,5,264,239,14,2015
KS0314,66550,366,0,0.8,0.8,13971,11273,230,5431,30905,3825,30908,8147,130307,382,971,1540,5304,13,15,10,5,286,249,37,2015
KS0268,66080,457,0,0.7,0.85,15184,11881,137,12267,39469,4289,58599,5055,130307,52,994,1248,5214,99,99,68,14,766,536,50,2015
KS0042,66415,508,0,0.5,0.8,29527,15469,0,1136,46132,5570,35616,11807,130307,356,940,1244,9501,45,218,12,3,2421,376,15,2015
KS0318,66097,1139,0.03,0.5,0.93,25389,16019,84,5846,47338,7477,47338,16995,130307,355,1362,1955,5796,107,52,49,2,1476,1383,4,2015
KS0017,66424,502,0,0.5,0.53,16154,11199,0,0,27353,4112,23584,9007,130307,11,619,936,1963,182,23,13,9,393,259,109,2015
KS0078,66023,526,0,0.55,0.75,22100,11353,0,2614,36067,8766,36067,7310,130307,19,725,1300,1700,114,15,10,3,446,414,32,2015
